title,street,city,state,postal_code,country,lat,lng,categories
2949 -Santosh wines,"Bapuji Nagar, Krishnadevaraya ward, Bengaluru West City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560104, India",Bengaluru,Karnataka,560104,India,12.9641343,77.5409663,shops
15177 - Sri Devi Wines,"Hosahalli, Hosakote taluk, Bengaluru North, Karnataka, 560117, India",Bengaluru,Karnataka,560117,India,12.9770909,77.8285267,shops
371 - Ragavendra wines,"Dodda Dunnasandra, Hosakote taluk, Bengaluru North, Karnataka, 560117, India",Bengaluru,Karnataka,560117,India,12.9747448,77.8235281,shops
530 - Honnu Wines,"Sri Sai Palace & Convention Hall, Channasandra Main Road, Thirumalashettihalli, Hosakote taluk, Bengaluru North, Karnataka, 560067, India",Bengaluru,Karnataka,560067,India,12.9861913,77.778963,shops
19378 - Ruby Wines - Cunningham Road,"Ramana's, Cunningham Road, Kaverappa Layout, Vasanth Nagar, Bengaluru Central City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560052, India",Bengaluru,Karnataka,560052,India,12.9887806,77.5939784,shops
19311 - G D Bar,"Ramaiah Street, Corporation Colony, Kodihalli, Bengaluru Central City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560017, India",Bengaluru,Karnataka,560017,India,12.959995,77.6446451,shops
45211 - V K Boarding and lodging,"Kudlu, Bengaluru South City Corporation, Bengaluru, Anekal, Bengaluru Urban, Karnataka, 560068, India",Bengaluru,Karnataka,560068,India,12.887451,77.6561804,shops
16305 - Sling - Indiranagar,"836B, 10th A Main Road, Indiranagar 2nd Stage, Hoysala Nagara Central, Bengaluru Central City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560038, India",Bengaluru,Karnataka,560038,India,12.9773058,77.6407801,shops
332 - Sri Lakshmi Wines,"Vijayapura, Devanahalli taluku, Bengaluru North, Karnataka, 562135, India",Bengaluru,Karnataka,562135,India,13.2954352,77.8009883,shops
17838 - Bangalore International Center - Domlur,"Bangalore International Centre - BIC, 4th Main Road, Domlur 2nd Stage, Domlur, Agaram, Bengaluru Central City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560071, India",Bengaluru,Karnataka,560071,India,12.9667752,77.6354086,shops
17164 - Madhuloka - Varthur kodi,"MCC Towers, Varthur Road, Meenakshi Layout, Varthur, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560066, India",Bengaluru,Karnataka,560066,India,12.9566992,77.7439751,shops
18933 - SR SPIRITS,"Synup, 596, 6th Cross Road, Koramangala 6th Block, Koramangala, Sri Lakshmi Devi Ward, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560095, India",Bengaluru,Karnataka,560095,India,12.937102,77.6245992,shops
03364 -Liquor Mart,"Board Games Bazaar, 353, 8th Main Road, Sharada Colony, Basaveshwara Nagara, Bengaluru West City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560079, India",Bengaluru,Karnataka,560079,India,12.991654,77.5379688,shops
510 - GURU WINES,"Nagenahalli, Mallenahalli, Devanahalli taluku, Bengaluru North, Karnataka, 562129, India",Bengaluru,Karnataka,562129,India,13.186664,77.7598449,shops
10764 - Golden Amulya Scotch - Baglur,"Bagalur Road, Dwaraka Nagar, Kogilu, Bengaluru North City Corporation, Bengaluru, Yelahanka taluku, Bengaluru Urban, Karnataka, 560063, India",Bengaluru,Karnataka,560063,India,13.1218516,77.6238352,shops
17862 - Enne Angadi - Medahalli,"Deutsche Motor works Whitefield, Whitefield Road, Kaveri Nagara, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560048, India",Bengaluru,Karnataka,560048,India,12.9882471,77.7299561,shops
44879 - House Of Spirits - 5,"Bhagini Residency, Ecumenical Christian Center Road, Prithvi Layout, Pattanduru Agrahara, S.M Krishna Ward, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560066, India",Bengaluru,Karnataka,560066,India,12.9862457,77.744908,shops
16158 - Golden wines,"Bisanahalli, Hosakote taluk, Bengaluru North, Karnataka, 560117, India",Bengaluru,Karnataka,560117,India,12.9843169,77.8214024,shops
